uni,website,mastodonUrl,xUri,facebookUrl,linkedInUrl,instagramUrl,blueskyUrl,tiktokUrl,YouTubeUrl
http://www.wikidata.org/entity/Q895796,https://www.hfs-berlin.de/,,https://x.com/hfsernstbusch,https://www.facebook.com/HochschulefuerSchauspielkunstErnstBusch,,https://www.instagram.com/hfs_ernst_busch,,,
http://www.wikidata.org/entity/Q896116,https://hfg-karlsruhe.de/en/,,https://x.com/hfg_ka,https://www.facebook.com/hfg.karlsruhe,,https://www.instagram.com/hfg_karlsruhe,,,
http://www.wikidata.org/entity/Q896468,http://www.tha.de/,,https://x.com/hs_augsburg,https://www.facebook.com/hochschule.augsburg,,https://www.instagram.com/hochschuleaugsburg,,,
http://www.wikidata.org/entity/Q1305888,http://www.muthesius-kunsthochschule.de,,https://x.com/MuthesiusKH,https://www.facebook.com/MuthesiusKunsthochschule,,https://www.instagram.com/muthesius_kunsthochschule,,,
http://www.wikidata.org/entity/Q1391202,https://www.th-luebeck.de/,,https://x.com/th_luebeck,https://www.facebook.com/technische.hochschule.luebeck,,https://www.instagram.com/th.luebeck,,,
http://www.wikidata.org/entity/Q1540704,https://www.hft-stuttgart.de/,,https://x.com/HFT_Presse,https://www.facebook.com/HfTStuttgart,,https://www.instagram.com/hft_stuttgart,,,
http://www.wikidata.org/entity/Q1622111,https://www.thi.de/,,https://x.com/th_ingolstadt,https://www.facebook.com/hochschule.ingolstadt,,https://www.instagram.com/thingolstadt_official,,,
http://www.wikidata.org/entity/Q1622117,http://www.hs-koblenz.de/,,https://x.com/HSKoblenz,https://www.facebook.com/HochschuleKoblenz,,https://www.instagram.com/hskoblenz,,,
http://www.wikidata.org/entity/Q1622179,http://www.hfg-offenbach.de/,,https://x.com/HfG_Offenbach,https://www.facebook.com/hfg.offenbach,,https://www.instagram.com/hfg_offenbach,,,
http://www.wikidata.org/entity/Q884111,https://www.htwsaar.de/,,https://x.com/htw,https://www.facebook.com/htwsaar,,https://www.instagram.com/htwsaar_,,,https://www.youtube.com/channel/UCy033MGqngwOBwWqaTFGDug
http://www.wikidata.org/entity/Q1391189,http://www.fh-erfurt.de/,,https://x.com/fh_erfurt,https://www.facebook.com/fachhochschuleerfurt,,https://www.instagram.com/fherfurt,,,https://www.youtube.com/channel/UCqw_x6jEx4ET45NfwyFy9EA
http://www.wikidata.org/entity/Q1391231,https://www.hochschule-stralsund.de/,,https://x.com/HS_Stralsund,https://www.facebook.com/HS.Stralsund,,https://www.instagram.com/hochschule_stralsund,,,https://www.youtube.com/channel/UC98VqFNMKTXR-JT368ygwEA
http://www.wikidata.org/entity/Q1622105,https://www.hs-harz.de/,,https://x.com/hs_harz,https://www.facebook.com/hochschuleharz,https://www.linkedin.com/company/hochschuleharz,https://www.instagram.com/hochschule_harz,,,https://www.youtube.com/channel/UCrm5EAWn6zT4nJaPKnfAR3Q
http://www.wikidata.org/entity/Q1622130,https://www.hs-nb.de/,,https://x.com/hsnb_campus,https://www.facebook.com/hochschule.neubrandenburg,,https://www.instagram.com/hochschuleneubrandenburg,,,https://www.youtube.com/channel/UCwbF-QSPGjFNODGtJ8cmlFQ
